time_step,topology,seed,load_scale,method,scenario,failed_link,commodity_rank,source,destination,disrupted_amount,demand_value,commodity_disruption_ratio
23,sample_backbone,11,0.8,current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,4,2,5,3.2428775,3.242877482390731,1.000000005430137
23,sample_backbone,11,0.8,current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,5,0,5,3.2346569,4.2828261422109595,0.7552622480094758
23,sample_backbone,11,0.8,current_demand_lp,random_failure_fixed,0 -> 1 & 1 -> 0,1,0,1,3.1913289,3.1913289015643036,0.9999999995098269
23,sample_backbone,11,0.8,current_demand_lp,random_failure_fixed,0 -> 1 & 1 -> 0,2,3,0,2.7266579,3.7125552249088956,0.7344423812757994
23,sample_backbone,11,0.8,current_demand_lp,random_failure_fixed,0 -> 1 & 1 -> 0,3,1,0,2.1666101,2.1666101078824456,0.9999999963618533
23,sample_backbone,11,0.8,current_demand_lp,random_failure_fixed,0 -> 1 & 1 -> 0,4,0,5,1.0481693,4.2828261422109595,0.24473776548372678
23,sample_backbone,11,0.8,current_demand_lp,random_failure_fixed,0 -> 1 & 1 -> 0,5,0,4,0.46196568,2.4353369572673076,0.18969271526120632
23,sample_backbone,11,0.8,robust_current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,1,0,5,4.2828261,4.2828261422109595,0.9999999901441343
23,sample_backbone,11,0.8,robust_current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,2,2,3,4.1927556,4.192755619814752,0.9999999952740503
23,sample_backbone,11,0.8,robust_current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,3,3,2,4.1463646,4.146364635596822,0.9999999914149322
23,sample_backbone,11,0.8,robust_current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,4,2,4,3.2692709,3.269270897727886,1.000000000694991
23,sample_backbone,11,0.8,robust_current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,5,5,0,3.0550065,3.0550064544662647,1.0000000149046282
23,sample_backbone,11,0.8,robust_current_demand_lp,random_failure_fixed,0 -> 1 & 1 -> 0,1,0,1,3.1913289,3.1913289015643036,0.9999999995098269
23,sample_backbone,11,0.8,robust_current_demand_lp,random_failure_fixed,0 -> 1 & 1 -> 0,2,3,0,2.7266579,3.7125552249088956,0.7344423812757994
23,sample_backbone,11,0.8,robust_current_demand_lp,random_failure_fixed,0 -> 1 & 1 -> 0,3,1,0,2.1666101,2.1666101078824456,0.9999999963618533
23,sample_backbone,11,0.8,robust_current_demand_lp,random_failure_fixed,0 -> 1 & 1 -> 0,4,0,2,1.3644746,3.752855400591377,0.3635830466009923
23,sample_backbone,11,0.8,robust_current_demand_lp,random_failure_fixed,0 -> 1 & 1 -> 0,5,0,3,0.14566031,1.8350381160602147,0.07937726673096544
23,sample_backbone,11,0.8,moving_average,critical_failure_fixed,2 -> 3 & 3 -> 2,1,3,2,3.7732401,3.7732400965760657,1.0000000009074255
23,sample_backbone,11,0.8,moving_average,critical_failure_fixed,2 -> 3 & 3 -> 2,2,2,3,3.5011033,3.501103255990968,1.0000000125700468
23,sample_backbone,11,0.8,moving_average,critical_failure_fixed,2 -> 3 & 3 -> 2,3,0,5,3.2904925,3.874486004867593,0.8492720055940555
23,sample_backbone,11,0.8,moving_average,critical_failure_fixed,2 -> 3 & 3 -> 2,4,3,1,2.9693563,2.969356252781252,1.000000015902015
23,sample_backbone,11,0.8,moving_average,critical_failure_fixed,2 -> 3 & 3 -> 2,5,2,5,2.8521733,2.8521732992669246,1.0000000002570235
23,sample_backbone,11,0.8,moving_average,random_failure_fixed,0 -> 1 & 1 -> 0,1,0,1,2.7202192,2.7202191811962413,1.0000000069125894
23,sample_backbone,11,0.8,moving_average,random_failure_fixed,0 -> 1 & 1 -> 0,2,3,0,2.3433737,3.536130071863111,0.6626944293271787
23,sample_backbone,11,0.8,moving_average,random_failure_fixed,0 -> 1 & 1 -> 0,3,1,0,1.9146662,1.9146661773782447,1.0000000118149868
23,sample_backbone,11,0.8,moving_average,random_failure_fixed,0 -> 1 & 1 -> 0,4,0,5,0.58399352,3.874486004867593,0.15072799831159991
23,sample_backbone,11,0.8,moving_average,random_failure_fixed,0 -> 1 & 1 -> 0,5,0,4,0.57384425,2.1267481744844376,0.2698223780721524
23,sample_backbone,11,0.8,linear_autoregressive,critical_failure_fixed,2 -> 3 & 3 -> 2,1,3,2,4.6493577,4.649357724448994,0.9999999947414255
23,sample_backbone,11,0.8,linear_autoregressive,critical_failure_fixed,2 -> 3 & 3 -> 2,2,2,3,4.1890431,4.1890430712521844,1.0000000068626211
23,sample_backbone,11,0.8,linear_autoregressive,critical_failure_fixed,2 -> 3 & 3 -> 2,3,2,5,3.609861,3.6098610310249577,0.999999991405498
23,sample_backbone,11,0.8,linear_autoregressive,critical_failure_fixed,2 -> 3 & 3 -> 2,4,3,1,3.1781264,3.178126441382839,0.999999986978857
23,sample_backbone,11,0.8,linear_autoregressive,critical_failure_fixed,2 -> 3 & 3 -> 2,5,0,5,2.9009083,4.1104467888165255,0.7057403851796914
23,sample_backbone,11,0.8,linear_autoregressive,random_failure_fixed,0 -> 1 & 1 -> 0,1,3,0,3.321475,4.209216428473702,0.7890957988122257
23,sample_backbone,11,0.8,linear_autoregressive,random_failure_fixed,0 -> 1 & 1 -> 0,2,0,1,2.9401391,2.9401390906043896,1.0000000031956346
23,sample_backbone,11,0.8,linear_autoregressive,random_failure_fixed,0 -> 1 & 1 -> 0,3,1,0,1.3798368,1.379836801704914,0.9999999987644089
23,sample_backbone,11,0.8,linear_autoregressive,random_failure_fixed,0 -> 1 & 1 -> 0,4,0,5,1.2095385,4.1104467888165255,0.29425961754105295
23,sample_backbone,11,0.8,lstm,critical_failure_fixed,2 -> 3 & 3 -> 2,1,3,2,4.6399083,4.639908313751221,0.9999999970363163
23,sample_backbone,11,0.8,lstm,critical_failure_fixed,2 -> 3 & 3 -> 2,2,2,3,4.1717467,4.171746730804443,0.9999999926159363
23,sample_backbone,11,0.8,lstm,critical_failure_fixed,2 -> 3 & 3 -> 2,3,2,5,3.8894837,3.889483690261841,1.0000000025037152
23,sample_backbone,11,0.8,lstm,critical_failure_fixed,2 -> 3 & 3 -> 2,4,0,5,2.9825706,4.399293899536133,0.6779657527119263
23,sample_backbone,11,0.8,lstm,critical_failure_fixed,2 -> 3 & 3 -> 2,5,3,1,2.7625077,3.3548943996429443,0.8234261264062467
23,sample_backbone,11,0.8,lstm,random_failure_fixed,0 -> 1 & 1 -> 0,1,0,1,3.3454616,3.34546160697937,0.9999999979137797
23,sample_backbone,11,0.8,lstm,random_failure_fixed,0 -> 1 & 1 -> 0,2,3,0,2.8202837,4.255687713623047,0.6627092704598321
23,sample_backbone,11,0.8,lstm,random_failure_fixed,0 -> 1 & 1 -> 0,3,1,0,2.1570053,2.1570053100585938,0.9999999953367783
23,sample_backbone,11,0.8,lstm,random_failure_fixed,0 -> 1 & 1 -> 0,4,0,5,1.4167233,4.399293899536133,0.3220342473935149
23,sample_backbone,11,0.8,lstm,random_failure_fixed,0 -> 1 & 1 -> 0,5,0,4,0.034707308,2.4708235263824463,0.014046858316431552
23,sample_backbone,11,0.8,uncertainty_aware_lstm_robust_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,1,3,2,4.7446489,4.7446489334106445,0.9999999929582472
23,sample_backbone,11,0.8,uncertainty_aware_lstm_robust_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,2,0,5,4.4808326,4.480832576751709,1.0000000051883866
