method,prediction_mae,prediction_rmse,nominal_max_utilization,critical_failure_reopt_max_utilization,random_failure_reopt_max_utilization,critical_failure_fixed_served_fraction,random_failure_fixed_served_fraction,critical_failure_fixed_disrupted_fraction,random_failure_fixed_disrupted_fraction,critical_failure_fixed_fairness,random_failure_fixed_fairness,uncertainty_mean,uncertainty_max,routing_demand_inflation_ratio,robust_nominal_utilization,robust_worst_case_utilization,topology,load_scale,seed
uncertainty_aware_lstm_robust_lp,1.0684292514670566,1.1913020096514533,1.1989627445128204,3.1972339825641023,1.567845867410256,0.6820742560392916,0.8343170941582794,0.31792574396070844,0.1656829058417206,0.686934460219491,0.8337417666677223,0.8116223216056824,1.7130794525146484,1.0476760677162116,1.1989627153846154,3.1972340153846157,abilene,1.2,7
robust_current_demand_lp,0.5068276313474185,0.6913479808730406,1.2233810676581196,3.106280626623932,1.6149575542713674,0.6813609415210021,0.8352784843748607,0.3186390584789978,0.16472151562513926,0.6886328114269524,0.8353464010914669,,,,1.2233810684615385,3.2623495153846154,abilene,1.2,7
current_demand_lp,0.5068276313474185,0.6913479808730406,1.2233810684786326,3.1549008597008545,1.6149575542713674,0.682651928826913,0.8357351859310561,0.317348071173087,0.164264814068944,0.6890078993491263,0.835922755527273,,,,,,abilene,1.2,7
moving_average,0.9893403248654796,1.1350361801516071,1.2460320452136753,3.166191993504273,1.6571748601367522,0.6832634535613328,0.8374797988488971,0.3167365464386672,0.16252020115110286,0.6893644510599469,0.8372310920711629,,,,,,abilene,1.2,7
lstm,1.0180710849818715,1.146579461007407,1.1462283226495726,3.0566088564102563,1.4585719584615384,0.6771812195048904,0.833357640380146,0.3228187804951096,0.1666423596198539,0.6908651943698393,0.8374455634625656,,,,,,abilene,1.2,11
linear_autoregressive,0.5221413225325291,0.6583935798058883,1.1918380103863249,2.9693622955982906,1.5294506466068376,0.6746405400359782,0.8328134510805218,0.32535945996402177,0.16718654891947823,0.6886826535982375,0.8375805143678703,,,,,,abilene,1.2,11
uncertainty_aware_lstm_robust_lp,1.0180710849818715,1.146579461007407,1.2032165564786323,2.8489822568803413,1.5312524009743587,0.6717630180933946,0.8330591954860606,0.32823698190660544,0.16694080451393936,0.6864410925538518,0.8383058053508429,0.7881022691726685,1.5826643705368042,1.0484017456896364,1.2032165692307693,3.2085774923076924,abilene,1.2,11
robust_current_demand_lp,0.49946110045367004,0.6928736415705803,1.2316128255521368,3.198529397777778,1.589539619365812,0.6696780255616681,0.8306076868859166,0.33032197443833183,0.16939231311408345,0.6906488043662394,0.835557264085982,,,,1.2316128323076923,3.284300869230769,abilene,1.2,11
current_demand_lp,0.49946110045367004,0.6928736415705803,1.2316128259008547,3.1313730368376067,1.589539619365812,0.6751251824308593,0.8341425288459554,0.3248748175691407,0.1658574711540446,0.6903236245412772,0.8381811667155648,,,,,,abilene,1.2,11
moving_average,0.9458701915123686,1.1002850173083616,1.2547999535271794,3.27509828965812,1.6299012434871794,0.675411804271201,0.8343125882738017,0.32458819572879904,0.16568741172619833,0.6902158803730137,0.8375975839295116,,,,,,abilene,1.2,11
lstm,0.731722647378356,0.8247128737999668,0.8640244597777775,1.1816151555555556,0.8832934228205127,0.7507612026208625,0.8247907085135969,0.24923879737913743,0.17520929148640305,0.7447501671507306,0.8247863082659214,,,,,,nsfnet,0.8,7
linear_autoregressive,0.39087587445603966,0.48509396887964473,0.9059303259444444,1.241048950619658,1.0006809552991454,0.7502289862680314,0.8251112315193141,0.24977101373196856,0.1748887684806859,0.7464131344168184,0.8256493929216634,,,,,,nsfnet,0.8,7
uncertainty_aware_lstm_robust_lp,0.731722647378356,0.8247128737999668,0.9073405519999997,1.240419968888889,0.9272319056837607,0.7616217229804714,0.8298882111666231,0.2383782770195286,0.17011178883337677,0.7562009518588637,0.8312453858011906,0.575713574886322,0.9288458228111267,1.0498163789620887,0.90734055,1.6861017999999999,nsfnet,0.8,7
