time_step,topology,seed,load_scale,method,scenario,failed_link,commodity_rank,source,destination,path_rank,path_flow,path_nodes,path_edges,contains_failed_link
22,sample_backbone,7,1.2,uncertainty_aware_lstm_robust_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,2,2,4,2,5.356232,2 | 3 | 4,2->3 | 3->4,1
22,sample_backbone,7,1.2,uncertainty_aware_lstm_robust_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,3,2,3,1,4.846364,2 | 3,2->3,1
22,sample_backbone,7,1.2,uncertainty_aware_lstm_robust_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,4,5,0,1,4.4805007,5 | 3 | 2 | 0,5->3 | 3->2 | 2->0,1
22,sample_backbone,7,1.2,uncertainty_aware_lstm_robust_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,5,3,2,1,3.5172594,3 | 2,3->2,1
22,sample_backbone,7,1.2,uncertainty_aware_lstm_robust_lp,random_failure_fixed,3 -> 4 & 4 -> 3,1,4,3,1,6.0051985,4 | 3,4->3,1
22,sample_backbone,7,1.2,uncertainty_aware_lstm_robust_lp,random_failure_fixed,3 -> 4 & 4 -> 3,2,2,4,1,1.0391695,2 | 4,2->4,0
22,sample_backbone,7,1.2,uncertainty_aware_lstm_robust_lp,random_failure_fixed,3 -> 4 & 4 -> 3,2,2,4,2,5.356232,2 | 3 | 4,2->3 | 3->4,1
22,sample_backbone,7,1.2,uncertainty_aware_lstm_robust_lp,random_failure_fixed,3 -> 4 & 4 -> 3,3,3,4,1,4.9373026,3 | 4,3->4,1
22,sample_backbone,7,1.2,uncertainty_aware_lstm_robust_lp,random_failure_fixed,3 -> 4 & 4 -> 3,4,4,0,1,2.4341113,4 | 2 | 0,4->2 | 2->0,0
22,sample_backbone,7,1.2,uncertainty_aware_lstm_robust_lp,random_failure_fixed,3 -> 4 & 4 -> 3,4,4,0,2,0.4313791,4 | 3 | 2 | 0,4->3 | 3->2 | 2->0,1
22,sample_backbone,7,1.2,uncertainty_aware_lstm_robust_lp,random_failure_fixed,3 -> 4 & 4 -> 3,5,1,4,1,3.814728,1 | 2 | 4,1->2 | 2->4,0
22,sample_backbone,7,1.2,uncertainty_aware_lstm_robust_lp,random_failure_fixed,3 -> 4 & 4 -> 3,5,1,4,2,0.33515427,1 | 3 | 4,1->3 | 3->4,1
22,sample_backbone,7,1.2,transformer,critical_failure_fixed,2 -> 3 & 3 -> 2,1,2,5,1,5.4763412,2 | 3 | 5,2->3 | 3->5,1
22,sample_backbone,7,1.2,transformer,critical_failure_fixed,2 -> 3 & 3 -> 2,2,2,3,1,4.664876,2 | 3,2->3,1
22,sample_backbone,7,1.2,transformer,critical_failure_fixed,2 -> 3 & 3 -> 2,3,5,0,1,4.2205749,5 | 3 | 2 | 0,5->3 | 3->2 | 2->0,1
22,sample_backbone,7,1.2,transformer,critical_failure_fixed,2 -> 3 & 3 -> 2,4,3,0,1,0.5980592,3 | 1 | 0,3->1 | 1->0,0
22,sample_backbone,7,1.2,transformer,critical_failure_fixed,2 -> 3 & 3 -> 2,4,3,0,2,4.1595998,3 | 2 | 0,3->2 | 2->0,1
22,sample_backbone,7,1.2,transformer,critical_failure_fixed,2 -> 3 & 3 -> 2,5,0,3,1,3.2500246,0 | 2 | 3,0->2 | 2->3,1
22,sample_backbone,7,1.2,transformer,random_failure_fixed,3 -> 4 & 4 -> 3,1,4,3,1,5.6653934,4 | 3,4->3,1
22,sample_backbone,7,1.2,transformer,random_failure_fixed,3 -> 4 & 4 -> 3,2,3,4,1,4.7275605,3 | 4,3->4,1
22,sample_backbone,7,1.2,transformer,random_failure_fixed,3 -> 4 & 4 -> 3,3,0,5,1,2.787446,0 | 1 | 3 | 5,0->1 | 1->3 | 3->5,0
22,sample_backbone,7,1.2,transformer,random_failure_fixed,3 -> 4 & 4 -> 3,3,0,5,2,0.04739319999999969,0 | 1 | 3 | 4 | 5,0->1 | 1->3 | 3->4 | 4->5,1
22,sample_backbone,7,1.2,transformer,random_failure_fixed,3 -> 4 & 4 -> 3,3,0,5,3,2.8991882,0 | 2 | 3 | 4 | 5,0->2 | 2->3 | 3->4 | 4->5,1
22,sample_backbone,7,1.2,transformer,random_failure_fixed,3 -> 4 & 4 -> 3,4,2,4,1,3.4468139,2 | 4,2->4,0
22,sample_backbone,7,1.2,transformer,random_failure_fixed,3 -> 4 & 4 -> 3,4,2,4,2,2.5499851,2 | 3 | 4,2->3 | 3->4,1
22,sample_backbone,7,1.2,transformer,random_failure_fixed,3 -> 4 & 4 -> 3,5,4,1,1,3.6352973,4 | 2 | 1,4->2 | 2->1,0
22,sample_backbone,7,1.2,transformer,random_failure_fixed,3 -> 4 & 4 -> 3,5,4,1,2,0.89537282,4 | 3 | 1,4->3 | 3->1,1
23,sample_backbone,7,1.2,current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,1,2,5,1,5.97285,2 | 3 | 5,2->3 | 3->5,1
23,sample_backbone,7,1.2,current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,2,2,3,1,5.2075556,2 | 3,2->3,1
23,sample_backbone,7,1.2,current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,3,5,0,1,5.0157938,5 | 3 | 2 | 0,5->3 | 3->2 | 2->0,1
23,sample_backbone,7,1.2,current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,4,3,0,1,0.83544814,3 | 1 | 0,3->1 | 1->0,0
23,sample_backbone,7,1.2,current_demand_lp,critical_failure_fixed,2 -> 3 & 3 -> 2,4,3,0,2,4.889873,3 | 2 | 0,3->2 | 2->0,1
