ablation_family,ablation_variant,topology,load_scale,method,method_profile,history_window,transformer_model_dim,transformer_num_heads,transformer_num_layers,transformer_dropout,transformer_epochs,transformer_learning_rate,robust_max_scenarios,robust_num_central_scenarios,robust_include_random_scenario,robust_nominal_weight,robust_worst_case_weight,uncertainty_multiplier_config,prediction_mae_mean,prediction_rmse_mean,nominal_max_utilization_mean,nominal_max_utilization_std,critical_failure_reopt_max_utilization_mean,critical_failure_fixed_disrupted_fraction_mean,critical_failure_fixed_fairness_mean,random_failure_fixed_disrupted_fraction_mean,random_failure_fixed_fairness_mean,robust_worst_case_utilization_mean
robust,conservative_s4,nsfnet,1.0,robust_current_demand_lp,lp_only,8,128,8,2,0.1,160,0.001,4,2,1,0.35,0.65,0.25,0.4495726941863883,0.5843256358323424,0.8467038779652422,0.026977563410636743,1.6929414440128205,0.1601114503170585,0.8392219859500223,0.12487433713373226,0.8759854742093096,1.63514701025641
robust,conservative_s4,nsfnet,1.0,uncertainty_aware_lstm_robust_lp,lp_only,8,128,8,2,0.1,160,0.001,4,2,1,0.35,0.65,0.25,0.9476772616854744,1.0542142335535265,0.7126765625256409,0.020769292996349307,1.5455673221880344,0.1598096587763431,0.8401519019897407,0.12476977898302725,0.875855227369692,1.3774330153846155
robust,nominal_s2,abilene,1.0,current_demand_lp,lp_only,8,128,8,2,0.1,160,0.001,2,1,0,0.7,0.3,0.25,0.4476716715414672,0.6105427049547374,1.017519964534473,0.010506594063537916,2.464366106054131,0.3182917665519885,0.687623634948411,0.16301561260321207,0.8383651238339143,
robust,nominal_s2,abilene,1.0,robust_current_demand_lp,lp_only,8,128,8,2,0.1,160,0.001,2,1,0,0.7,0.3,0.25,0.4476716715414672,0.6105427049547374,1.0175199641916242,0.010506593748811058,2.6278899255698005,0.3198160340135418,0.6889717757168486,0.16570858775147335,0.8355553906706253,2.7133865717948713
robust,nominal_s2,abilene,1.0,uncertainty_aware_lstm_robust_lp,lp_only,8,128,8,2,0.1,160,0.001,2,1,0,0.7,0.3,0.25,0.9232094060994059,1.0389692608891208,0.9519206711623932,0.006201597825906962,2.3865875162962964,0.31566307427285684,0.6953739369905257,0.16378997853681912,0.8384778155285889,2.538455105128205
robust,nominal_s2,nsfnet,1.0,current_demand_lp,lp_only,8,128,8,2,0.1,160,0.001,2,1,0,0.7,0.3,0.25,0.4495726941863883,0.5843256358323424,1.1338436930185185,0.03636754565205493,1.5956125400789174,0.25096883825822336,0.7479106698041247,0.17443351873087706,0.8270764440064621,
robust,nominal_s2,nsfnet,1.0,robust_current_demand_lp,lp_only,8,128,8,2,0.1,160,0.001,2,1,0,0.7,0.3,0.25,0.4495726941863883,0.5843256358323424,1.133843692940171,0.03636754575060358,1.5956125400789174,0.23470621158194785,0.7609690814672189,0.16946460085575243,0.8314758412412151,2.1906133153846152
robust,nominal_s2,nsfnet,1.0,uncertainty_aware_lstm_robust_lp,lp_only,8,128,8,2,0.1,160,0.001,2,1,0,0.7,0.3,0.25,0.9476772616854744,1.0542142335535265,1.0294217012877493,0.030000090671375046,1.4552264242450141,0.23564229924280491,0.7608921370073803,0.1696002067745949,0.8310668671740861,1.9896254666666666
transformer,base,abilene,1.0,linear_autoregressive,ml_only,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,0.43883133640328936,0.5529492893129232,0.9851369197800571,0.016925288011459177,2.369110688846154,0.3178966324926496,0.687451217158409,0.1640819581192786,0.8375435941299211,
transformer,base,abilene,1.0,lstm,ml_only,4,64,4,2,0.1,100,0.008,3,1,0,0.5,0.5,0.25,0.8928824050678775,1.004837379395817,0.9490697631145298,0.0049487128769215545,2.20229123005698,0.3174619839059413,0.6887971358260053,0.16299474130388497,0.8384673110077809,
