topology,load_scale,method,prediction_mae_mean,prediction_rmse_mean,nominal_max_utilization_mean,nominal_max_utilization_std,critical_failure_reopt_max_utilization_mean,random_failure_reopt_max_utilization_mean,critical_failure_fixed_disrupted_fraction_mean,random_failure_fixed_disrupted_fraction_mean,critical_failure_fixed_fairness_mean,random_failure_fixed_fairness_mean,robust_worst_case_utilization_mean
nsfnet,1.0,linear_autoregressive,0.4396800194000285,0.540315970936945,1.1108242174217948,0.02995605912252464,1.544150706967094,1.2335839520299143,0.2534564777773349,0.17388280497518172,0.7422852904382207,0.8264946836239018,
nsfnet,1.0,lstm,0.9398613029983311,1.0471793183018292,0.9775384587008549,0.037945054211296764,1.3649024711196582,1.0071291527136752,0.2524684371994792,0.1741709863150328,0.7429758946968833,0.8253981883454315,
nsfnet,1.0,moving_average,1.0388113434635233,1.1507043000149655,1.1618965302152222,0.046705885044930645,1.6190457395746582,1.2125008432307691,0.2528281649019676,0.17365083423771616,0.7424267741242052,0.8262729406126097,
nsfnet,1.0,robust_current_demand_lp,0.44747492808978484,0.583556900941516,1.1255063261410256,0.04720303652291391,1.5695522192380342,1.2506582627692309,0.23424439008201164,0.1682179164294468,0.7583897752634537,0.8311332547843306,2.138954338461539
nsfnet,1.0,transformer,0.6230353913642221,0.717324064325702,0.9650469435576923,0.04643968786745624,1.34416518381453,1.0294398171410255,0.25353193371585386,0.17417718218739414,0.7418860631060091,0.8256081816817349,
nsfnet,1.0,uncertainty_aware_lstm_robust_lp,0.9398613029983311,1.0471793183018292,1.0231400529999999,0.03953803547617838,1.4280025274572652,1.053794622567094,0.23615484130701633,0.1685171714460249,0.7575118743514982,0.8312228276225619,1.9457170499999998
nsfnet,1.2,current_demand_lp,0.5094814886236942,0.658640975333899,1.3502480335042735,0.055993655356470794,1.882494504303419,1.4993006334700854,0.25268257453848286,0.17320248210101466,0.742223731091507,0.8270433193199613,
nsfnet,1.2,linear_autoregressive,0.5106335978107652,0.6194106329877889,1.332325883484188,0.03641232258830156,1.8524032114263247,1.4787962142692308,0.25362929556406527,0.17407725166261695,0.7417911536371372,0.8260323054241452,
nsfnet,1.2,lstm,1.124785063945012,1.2422814742125676,1.1720151791944444,0.044950245825041,1.6355670814666665,1.2066934688521367,0.25486336990375164,0.17393345971136157,0.7403302133187271,0.8257515959486147,
nsfnet,1.2,moving_average,1.2409818704146318,1.365165102136317,1.394392818881624,0.05557286281520488,1.942556683322436,1.4546586266025638,0.25328157471922946,0.17385612279192672,0.7418735640310334,0.8259272292973285,
nsfnet,1.2,robust_current_demand_lp,0.5094814886236942,0.658640975333899,1.3502480334352565,0.055993655381552,1.882494504303419,1.4993006334700854,0.23439296545406962,0.1683044570470793,0.7582116447859044,0.8311313660589039,2.5656348923076924
nsfnet,1.2,transformer,0.6739619827136075,0.7729614103433396,1.1744663287181623,0.03225505753185004,1.6403258880978633,1.2545527147307691,0.25284097291427654,0.17402341742835326,0.7416893749865812,0.8257922389002962,
nsfnet,1.2,uncertainty_aware_lstm_robust_lp,1.124785063945012,1.2422814742125676,1.2256832371944444,0.04683115559841881,1.7098587034722224,1.2616398579884616,0.23594585827302794,0.16846249927690776,0.7575641075703177,0.8312505970039181,2.3300080000000003
